date,mode,system,trips
2022-06-09,bus_rkl,bus,137711
2022-06-10,bus_rkl,bus,135430
2022-06-11,bus_rkl,bus,101034
2022-06-12,bus_rkl,bus,99106
2022-06-13,bus_rkl,bus,145221
2022-06-14,bus_rkl,bus,147964
2022-06-15,bus_rkl,bus,149732
2022-06-16,bus_rkl,bus,146979
2022-06-17,bus_rkl,bus,147963
2022-06-18,bus_rkl,bus,112408
2022-06-19,bus_rkl,bus,108392
2022-06-20,bus_rkl,bus,153258
2022-06-21,bus_rkl,bus,157936
2022-06-22,bus_rkl,bus,156092
2022-06-23,bus_rkl,bus,159591
2022-06-24,bus_rkl,bus,153781
2022-06-25,bus_rkl,bus,124786
2022-06-26,bus_rkl,bus,113994
2022-06-27,bus_rkl,bus,157853
2022-06-28,bus_rkl,bus,159952
2022-06-29,bus_rkl,bus,162878
2022-06-30,bus_rkl,bus,163265
2022-07-01,bus_rkl,bus,163660
2022-07-02,bus_rkl,bus,122723
2022-07-03,bus_rkl,bus,117619
2022-07-04,bus_rkl,bus,163613
2022-07-05,bus_rkl,bus,166965
2022-07-06,bus_rkl,bus,166701
2022-07-07,bus_rkl,bus,165100
2022-07-08,bus_rkl,bus,162960
2022-07-09,bus_rkl,bus,119217
2022-07-10,bus_rkl,bus,104970
2022-07-11,bus_rkl,bus,111407
2022-07-12,bus_rkl,bus,145227
2022-07-13,bus_rkl,bus,162621
2022-07-14,bus_rkl,bus,161730
2022-07-15,bus_rkl,bus,162897
2022-07-16,bus_rkl,bus,108186
2022-07-17,bus_rkl,bus,94383
2022-07-18,bus_rkl,bus,148643
2022-07-19,bus_rkl,bus,153331
2022-07-20,bus_rkl,bus,155305
2022-07-21,bus_rkl,bus,150936
2022-07-22,bus_rkl,bus,148668
2022-07-23,bus_rkl,bus,102632
2022-07-24,bus_rkl,bus,90814
2022-07-25,bus_rkl,bus,148219
2022-07-26,bus_rkl,bus,153655
2022-07-27,bus_rkl,bus,151364
2022-07-28,bus_rkl,bus,150141
2022-07-29,bus_rkl,bus,151703
2022-07-30,bus_rkl,bus,99321
2022-07-31,bus_rkl,bus,95248
2022-08-01,bus_rkl,bus,152815
2022-08-02,bus_rkl,bus,153731
2022-08-03,bus_rkl,bus,153964
2022-08-04,bus_rkl,bus,164281
2022-08-05,bus_rkl,bus,167574
2022-08-06,bus_rkl,bus,139339
2022-08-07,bus_rkl,bus,136749
2022-08-08,bus_rkl,bus,175094
2022-08-09,bus_rkl,bus,175026
2022-08-10,bus_rkl,bus,181132
2022-08-11,bus_rkl,bus,175472
2022-08-12,bus_rkl,bus,174008
2022-08-13,bus_rkl,bus,143937
2022-08-14,bus_rkl,bus,149191
2022-08-15,bus_rkl,bus,154172
2022-08-16,bus_rkl,bus,158185
2022-08-17,bus_rkl,bus,158027
2022-08-18,bus_rkl,bus,159143
2022-08-19,bus_rkl,bus,156225
2022-08-20,bus_rkl,bus,102122
2022-08-21,bus_rkl,bus,97039
2022-08-22,bus_rkl,bus,154176
2022-08-23,bus_rkl,bus,156776
